Concealing of internet use,Inability to prioritize,No sense of time,Feeling of Euphoria,Anger,Restlessness,Sleeping problem,Anxious,Unfocused,Stressed,Social isolation,Low self esteem,Feeling of guilt,Memory impairment,Mood Swing,Poor Concentration,Lying about internet use,Boredom,Headache,Depression,prognosis
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,Information Overload
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,Information Overload
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,Information Overload
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,Information Overload
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,Information Overload
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,Information Overload
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,Cyber Relationship
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,Cyber Relationship
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,Cyber Relationship
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,Cyber Relationship
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,Cyber Relationship
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,Cyber Relationship
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,Cyber Relationship
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,Information Overload
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Cyber Relationship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Net Compulsion
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Net Compulsion
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,Information Overload
